regtests/files/identify/HPND-sell-MIT-disclaimer-xserver-1.c: HPND-sell-MIT-disclaimer-xserver
regtests/files/identify/antlr-pd-1.c: ANTLR-PD
regtests/files/identify/antlr-pd-2.c: ANTLR-PD
regtests/files/identify/apache-2.0-1.ads: Apache-2.0
regtests/files/identify/apache-2.0-2.ads: Apache-2.0
regtests/files/identify/apache-2.0-3.c: Apache-2.0
regtests/files/identify/apache-2.0-4.erl: Apache-2.0
regtests/files/identify/apache-2.0-5.xhtml: Apache-2.0
regtests/files/identify/apache-2.0-6.jsp: Apache-2.0
regtests/files/identify/apache-2.0-7.cs: Apache-2.0
regtests/files/identify/apache-2.0-8.ts: Apache-2.0
regtests/files/identify/apache-2.0-9.ads: Apache-2.0
regtests/files/identify/beerware.java: Beerware
regtests/files/identify/blessing-1.c: blessing
regtests/files/identify/blessing-2.ads: blessing
regtests/files/identify/bsd-3-clause-2.c: BSD-3-Clause
regtests/files/identify/bsd-3-clause-or-gpl.c: BSD-3-Clause
regtests/files/identify/bsd-3-clause.c: BSD-3-Clause
regtests/files/identify/bsd-3-clause.ps1: BSD-3-Clause
regtests/files/identify/bsd-3-clause.tex: BSD-3-Clause
regtests/files/identify/bsd-source-beginning-file-1.c: BSD-Source-beginning-file
regtests/files/identify/gnat-3.0.ads: gnat-gcc
regtests/files/identify/gpl-2.0-1.C: GPL-1.0
regtests/files/identify/gpl-2.0-2.st: GPL-2.0
regtests/files/identify/gpl-2.0-3.rs: GPL-2.0
regtests/files/identify/gpl-2.0-only-1.sh: GPL-2.0-only
regtests/files/identify/gpl-2.0-or-bsd.c: GPL-2.0+ OR BSD-3-Clause
regtests/files/identify/gpl-3.0-1.sub: Unknown
regtests/files/identify/gpl-3.0-2.el: GPL-3.0
regtests/files/identify/gpl-3.0.c: GPL-3.0
regtests/files/identify/gpl2-or-later.java: GPL-2.0
regtests/files/identify/isc-1.h: ISC
regtests/files/identify/isc-2.h: ISC
regtests/files/identify/isc-3.h: ISC
regtests/files/identify/lgpl-2.1.c: LGPL-2.1+
regtests/files/identify/lgpl-2.1.java: GPL-1.0
regtests/files/identify/lgpl-2.1.ml: Unknown
regtests/files/identify/misc-1.ml: Unknown
regtests/files/identify/mit-1.tex: MIT
regtests/files/identify/mit-2.c: MIT
regtests/files/identify/none.keywords: None
regtests/files/identify/none.l: None
regtests/files/identify/uri.d: Unknown
